City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,0.76,76,100,2.13,GS,1704177046
1,port-aux-francais,-49.35,70.2167,4.8,76,56,16.77,TF,1704177046
2,lianyuan,27.6883,111.6642,9.02,84,100,1.94,CN,1704177048
3,whitehorse,60.7161,-135.0538,-13.57,92,100,2.06,CA,1704177048
4,hawaiian paradise park,19.5933,-154.9731,22.15,90,75,2.57,US,1704177049
5,waitangi,-43.9535,-176.5597,14.9,85,95,3.58,NZ,1704177050
6,fale old settlement,-9.3852,-171.2468,28.98,71,51,2.98,TK,1704177050
7,tiksi,71.6872,128.8694,-28.69,100,100,0.48,RU,1704177052
8,vorgashor,67.5833,63.95,-33.74,100,21,0.99,RU,1704177053
9,colipapa,9.4726,122.5616,30.37,65,98,3.62,PH,1704177053
10,flying fish cove,-10.4217,105.6791,28.82,78,100,5.14,CX,1704177054
11,isafjordur,66.0755,-23.124,3.74,95,99,5.27,IS,1704177055
12,wailua homesteads,22.0669,-159.378,21.44,80,75,4.63,US,1704177057
13,iqaluit,63.7506,-68.5145,-26.15,64,75,2.06,CA,1704177058
14,dhidhdhoo,6.8833,73.1,27.52,77,75,3.91,MV,1704177059
15,fortaleza,-3.7227,-38.5247,26.07,89,20,2.06,BR,1704177060
16,mount isa,-20.7333,139.5,40.87,18,40,4.12,AU,1704177060
17,kalemie,-5.9475,29.1947,21.87,90,100,1.45,CD,1704177061
18,albany,42.6001,-73.9662,-3.39,76,2,1.79,US,1704177003
19,ushtobe,45.2514,77.9838,8.16,44,93,7.67,KZ,1704177062
20,ancud,-41.8697,-73.8203,11.66,92,93,0.53,CL,1704176882
21,enewetak,11.3474,162.3373,27.62,72,100,8.66,MH,1704177064
22,bayramaly,37.6185,62.1671,4.86,44,100,1.58,TM,1704177064
23,marsh harbour,26.5412,-77.0636,20.04,58,100,6.41,BS,1704177065
24,abu,24.6,72.7,19.74,32,0,0.94,IN,1704177066
25,happy valley-goose bay,53.3168,-60.3315,-10.83,67,100,2.57,CA,1704177066
26,edinburgh of the seven seas,-37.0676,-12.3116,16.47,89,100,1.11,SH,1704177067
27,moussoro,13.6408,16.4901,21.22,17,100,5.42,TD,1704177068
28,nadi,-17.8,177.4167,29.0,74,40,5.14,FJ,1704177068
29,dzhetygara,52.1908,61.2006,-14.11,88,10,5.63,KZ,1704177069
30,newman,37.3138,-121.0208,7.24,92,5,1.34,US,1704177070
31,el abiodh sidi cheikh,32.893,0.5484,5.55,78,0,2.24,DZ,1704177070
32,puerto quijarro,-17.7833,-57.7667,23.19,99,100,0.74,BO,1704177071
33,puerto ayora,-0.7393,-90.3518,24.75,98,13,1.34,EC,1704177071
34,sao raimundo nonato,-9.0153,-42.6994,22.53,95,76,1.13,BR,1704177072
35,petropavlovsk-kamchatsky,53.0452,158.6483,-12.67,77,75,7.6,RU,1704177043
36,ushuaia,-54.8,-68.3,7.81,93,0,2.57,AR,1704176835
37,slave lake,55.2834,-114.769,-8.01,93,100,2.06,CA,1704177074
38,diamond harbour,22.1917,88.1847,27.42,20,0,4.23,IN,1704177075
39,ukhta,63.5671,53.6835,-36.36,99,49,1.79,RU,1704177076
40,adamstown,-25.066,-130.1015,23.45,85,100,3.95,PN,1704177077
41,yekaterinovka,52.0508,44.3451,-2.51,97,100,6.96,RU,1704177077
42,barranquilla,10.9639,-74.7964,26.88,83,0,5.14,CO,1704177002
43,blackmans bay,-43.0167,147.3167,20.41,72,100,1.34,AU,1704177079
44,mabaruma,8.2,-59.7833,21.99,99,93,0.94,GY,1704177079
45,prince rupert,54.3161,-130.3201,6.05,80,100,9.26,CA,1704177080
46,puerto natales,-51.7236,-72.4875,11.13,97,100,1.61,CL,1704177081
47,talnakh,69.4865,88.3972,-32.1,88,32,1.13,RU,1704177082
48,aljezur,37.3191,-8.8033,14.23,94,88,2.74,PT,1704177084
49,nikolayevsk-on-amure,53.1406,140.73,-18.38,93,100,1.19,RU,1704177084
50,bethel,41.3712,-73.414,-0.8,71,0,1.54,US,1704176984
51,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.22,PT,1704177086
52,bredasdorp,-34.5322,20.0403,23.68,67,16,4.7,ZA,1704177086
53,kangding,30.0513,101.9603,6.23,64,91,2.96,CN,1704177087
54,stanley,54.868,-1.6985,7.93,96,75,1.03,GB,1704177088
55,college,64.8569,-147.8028,-21.01,81,20,4.12,US,1704177089
56,vilyuchinsk,52.9306,158.4028,-11.85,76,97,5.14,RU,1704177089
57,invercargill,-46.4,168.35,15.01,77,38,5.81,NZ,1704177090
58,anadyr,64.75,177.4833,-7.72,86,20,13.0,RU,1704177091
59,smithers,54.7804,-127.1743,-1.82,100,100,1.03,CA,1704177091
60,minas de marcona,-15.2119,-75.1103,16.15,86,60,4.13,PE,1704177092
61,jamestown,42.097,-79.2353,-0.23,92,100,1.54,US,1704177093
62,yerofey pavlovich,53.9667,121.9667,-18.29,94,100,1.11,RU,1704177093
63,mata-utu,-13.2816,-176.1745,28.22,78,73,4.65,WF,1704177094
64,atafu village,-8.5421,-172.5159,28.86,70,100,3.32,TK,1704177095
65,thompson,55.7435,-97.8558,-10.91,85,100,3.09,CA,1704177011
66,levuka,50.1834,-105.4011,-9.1,89,11,3.01,CA,1704177096
67,urucara,-2.5364,-57.76,23.67,93,20,1.27,BR,1704177097
68,yellowknife,62.456,-114.3525,-17.71,85,100,4.63,CA,1704176866
69,lorengau,-2.0226,147.2712,29.57,71,32,2.23,PG,1704177098
70,olonkinbyen,70.9221,-8.7187,0.11,96,100,4.23,SJ,1704177099
71,west island,-12.1568,96.8225,29.99,79,75,7.72,CC,1704177101
72,howrah,22.5892,88.3103,19.0,63,0,2.57,IN,1704177101
73,avarua,-21.2078,-159.775,25.03,78,1,1.54,CK,1704177102
74,homer,59.6425,-151.5483,3.94,60,40,5.14,US,1704177103
75,leshan,29.5623,103.7639,17.09,46,34,1.57,CN,1704176953
76,kardla,58.9978,22.7492,-15.01,78,0,6.17,EE,1704177104
77,labrador city,52.9463,-66.9114,-11.05,79,100,5.14,CA,1704177010
78,uturoa,-16.7333,-151.4333,27.95,80,100,4.08,PF,1704177105
79,margaret river,-33.95,115.0667,24.45,51,7,8.27,AU,1704177106
80,thinadhoo,0.5333,72.9333,27.84,72,100,1.24,MV,1704177107
81,kenai,60.5544,-151.2583,-3.97,74,0,9.77,US,1704177107
82,conde,-7.2597,-34.9075,22.7,100,0,2.06,BR,1704177108
83,la ronge,55.1001,-105.2842,-6.86,73,100,3.6,CA,1704177109
84,hamilton,39.1834,-84.5333,2.7,83,100,2.68,US,1704177008
85,santa ana de yacuma,-13.75,-65.4333,24.42,90,100,3.26,BO,1704177111
86,naryn,41.4287,75.9911,-6.13,61,100,0.13,KG,1704177111
